id,marca,modelo,preco
1,positivo,"Smartphone Positivo Q20 128gb Dual Chip ","R$ 999,00"
2,positivo,"Smartphone Positivo Twist 5 S620 64gb Du","R$ 649,00"
3,positivo,"Smartphone Positivo Twist 4g S509 32gb D","R$ 589,00"
4,positivo,"Smartphone Positivo Infinix Hot 11 128gb","R$ 1.599,9"
5,positivo,"Smartphone Positivo Twist 4 Pro 64gb Dua","R$ 499,00"
6,positivo,"Smartphone Positivo S513 32gb Vermelho-P","R$ 701,72"
7,positivo,"Smartphone Positivo Twist 4 Fit 32gb Dua","R$ 549,00"
8,positivo,"Smartphone Positivo Infinix Hot 11 128gb","R$ 1.484,9"
9,positivo,"Smartphone Positivo Twist 3 Pro S533 64g","R$ 799,00"
10,nokia,"Smartphone Nokia G21 4g 128gb 6.5" 4gb 5","R$ 799,00"
11,nokia,"Smartphone Nokia 5.4 Câmera Quádrupla 12","R$ 949,90"
12,nokia,"Smartphone Nokia C01 Plus 32gb 1gb Ram C","R$ 526,90"
13,nokia,"Smartphone Nokia 2.4 Dual Sim 6,5hd 64gb","R$ 699,90"
14,nokia,"Smartphone Nokia C01 Plus 32gb 1gb Ram C","R$ 526,90"
15,nokia,"Smartphone Nokia C20 32gb 4g Tela 6,5 2g","R$ 918,39"
16,nokia,"Smartphone Nokia C20 32gb 2gb Ram Nk038 ","R$ 825,90"
17,nokia,"Smartphone Nokia C01 Nk041 32gb Roxo + F","R$ 652,90"
18,nokia,"Smartphone Nokia C01 Plus 32gb, 4g, Tela","R$ 847,19"
19,xiaomi,"Smartphone Xiaomi Mi A3 4gb/64gb Dual Si","R$ 1.494,9"
20,xiaomi,"Smartphone Xiaomi Redmi Note 11 128gb 4g","R$ 1.680,0"
21,xiaomi,"Smartphone Xiaomi Redmi Not 11 + Fone CM","R$ 2.498,9"
22,xiaomi,"Smartphone Xiaomi Redmi Note 9S Tela 6,6","R$ 1.999,9"
23,xiaomi,"Smartphone Xiaomi Redmi Note 7 64gb Dual","R$ 1.356,7"
24,xiaomi,"Smartphone Xiaomi Mi 8 Lite 64gb Dual Si","R$ 1.388,9"
25,xiaomi,"Smartphone Xiaomi Redmi Note 9 4Gb Ram 1","R$ 1.599,9"
26,xiaomi,"Smartphone Xiaomi Redmi 10c 128gb 4gb Ra","R$ 1.307,8"
27,xiaomi,"Smartphone Xiaomi Redmi Note 9 4Gb Ram 1","R$ 1.599,9"
28,motorola,"Smartphone Motorola Moto G52 Tela 6,6 12","R$ 1.419,3"
29,motorola,"Smartphone Motorola E40 64gb Grafite-MOT","R$ 1.399,9"
30,motorola,"Smartphone Motorola Xt2231 1 G22 128gb T","R$ 1.799,0"
31,motorola,"Smartphone Moto G8 Plus Dual Sim 64 Gb C","R$ 2.299,9"
32,motorola,"Smartphone Motorola Moto G22 128gb 6,5 P","R$ 1.209,9"
33,motorola,"Smartphone Moto E22 64 Gb 4gb Ram Tela D","R$ 1.039,9"
34,motorola,"Smartphone Motorola Moto E32 64gb 4gb Ra","R$ 1.079,9"
35,motorola,"Smartphone Motorola Moto G22 Tela 6,5 12","R$ 1.209,9"
36,motorola,"Smartphone Motorola Moto G22 6,5 Polegad","R$ 1.822,0"
37,multilaser,"Smartphone E Lite 2 32gb 4 Pol. Dual Chi","R$ 385,90"
38,multilaser,"Smartphone lite 3g 32gb Dual Chip Androi","R$ 385,90"
39,multilaser,"Smartphone Multilaser 32gb 1gb Tela 5,5 ","R$ 462,90"
40,multilaser,"Smartphone Multilaser G 2 32gb 6.1" Andr","R$ 607,19"
41,multilaser,"Smartphone Multilaser F 32gb Android 9.0","R$ 511,19"
42,multilaser,"Smartphone Multilaser F Max 2 3g 64gb 6.","R$ 499,00"
43,multilaser,"Smartphone Multilaser G Max 2 4g 64gb Te","R$ 718,90"
44,multilaser,"Smartphone Multilaser F Pro 2 32gb Andro","R$ 575,19"
45,multilaser,"Smartphone Multilaser 3g 32gb 5"1gb Andr","R$ 448,90"
